trait,method,macro_f1,macro_f1_sd,accuracy,accuracy_sd,mae,mae_sd,n_classes,eval_n,best_macro_f1_for_trait,trait_short,macro_f1_plot
CUDI_CODE_REPRO,RiceGeneFormer + distill w=0.10,0.6390679399288441,0.01896276136937966,0.6867724867724867,0.0073314319897095,0.31322751322751324,0.0073314319897095,2,315,FALSE,CUDI,0.6390679399288441
CUDI_CODE_REPRO,LightGBM top512,0.6346391289707037,0,0.7047619047619048,0,0.29523809523809524,0,2,315,FALSE,CUDI,0.6346391289707037
CUDI_CODE_REPRO,XGBoost top512,0.6213554987212276,0,0.7015873015873015,0,0.2984126984126984,0,2,315,FALSE,CUDI,0.6213554987212276
CUDI_CODE_REPRO,SNP-MLP top512 alpha0.40,0.6824044287246365,0.01316506778456225,0.728042328042328,0.01321692698073736,0.27195767195767195,0.01321692698073736,2,315,TRUE,CUDI,0.6824044287246365
CUDI_CODE_REPRO,SNP-MLP top512 alpha0.60,0.6762389239925801,0.01178821704164082,0.7238095238095238,0.00839921051131613,0.2761904761904762,0.00839921051131616,2,315,FALSE,CUDI,0.6762389239925801
CULT_CODE_REPRO,RiceGeneFormer + distill w=0.10,0.2181422663546656,0.02574911060724716,0.29914529914529914,0.02978068347172297,0.9700854700854702,0.04058423058380889,7,312,FALSE,CULT,0.2181422663546656
CULT_CODE_REPRO,LightGBM top512,0.2319933130364051,0,0.2980769230769231,0,0.9807692307692308,0,7,312,FALSE,CULT,0.2319933130364051
CULT_CODE_REPRO,XGBoost top512,0.2199429132892076,0,0.3141025641025641,0,0.9487179487179488,0,7,312,FALSE,CULT,0.2199429132892076
CULT_CODE_REPRO,SNP-MLP top512 alpha0.40,0.2593897019890432,0.05265002430150754,0.3311965811965812,0.02426883908461655,0.9508547008547008,0.02687979834489132,7,312,FALSE,CULT,0.2593897019890432
CULT_CODE_REPRO,SNP-MLP top512 alpha0.60,0.2640830763674484,0.0103423924432704,0.33226495726495725,0.00370096326403608,0.9604700854700856,0.02610425581809964,7,312,TRUE,CULT,0.2640830763674484
CUNO_CODE_REPRO,RiceGeneFormer + distill w=0.10,0.29942974984572884,0.01477328130361155,0.731629392971246,0.0055337086503798,0.268370607028754,0.0055337086503798,3,313,FALSE,CUNO,0.29942974984572884
CUNO_CODE_REPRO,LightGBM top512,0.35779864371413667,0,0.7507987220447284,0,0.24920127795527156,0,3,313,FALSE,CUNO,0.35779864371413667
CUNO_CODE_REPRO,XGBoost top512,0.2844932844932845,0,0.744408945686901,0,0.25559105431309903,0,3,313,FALSE,CUNO,0.2844932844932845
CUNO_CODE_REPRO,SNP-MLP top512 alpha0.40,0.382326708158457,0.07097514018385265,0.7497337593184239,0.0120956514287546,0.2566560170394036,0.01209565142875458,3,313,FALSE,CUNO,0.382326708158457
CUNO_CODE_REPRO,SNP-MLP top512 alpha0.60,0.46889042548609017,0.03697908647034736,0.6719914802981896,0.06400417125161542,0.3397231096911608,0.06565734884685136,3,313,TRUE,CUNO,0.46889042548609017
CUST_REPRO,RiceGeneFormer + distill w=0.10,0.12952629966142928,0.00642351454895777,0.20784313725490197,0.01480359693190343,2.152941176470588,0.01789047803028881,8,340,FALSE,CUST,0.12952629966142928
CUST_REPRO,LightGBM top512,0.19330816530662176,0,0.4117647058823529,0,2.114705882352941,0,8,340,TRUE,CUST,0.19330816530662176
CUST_REPRO,XGBoost top512,0.1681668431815121,0,0.4323529411764706,0,2.026470588235294,0,8,340,FALSE,CUST,0.1681668431815121
CUST_REPRO,SNP-MLP top512 alpha0.40,0.17514190622380682,0.01269933577703827,0.4049019607843138,0.02501441337680995,2.134313725490196,0.1054046960164958,8,340,FALSE,CUST,0.17514190622380682
CUST_REPRO,SNP-MLP top512 alpha0.60,0.1844283804859424,0.01451151344095284,0.3980392156862745,0.04162916420698461,2.177450980392157,0.18002146482295134,8,340,FALSE,CUST,0.1844283804859424
LLT_CODE,RiceGeneFormer + distill w=0.10,0.291051088011337,0.01325513987176248,0.5207667731629394,0.01106741730075961,0.5079872204472843,0.0055337086503798,5,313,FALSE,LLT,0.291051088011337
LLT_CODE,LightGBM top512,0.2567545151791398,0,0.4952076677316294,0,0.5143769968051118,0,5,313,FALSE,LLT,0.2567545151791398
LLT_CODE,XGBoost top512,0.2109324801626506,0,0.5143769968051118,0,0.5079872204472844,0,5,313,FALSE,LLT,0.2109324801626506
LLT_CODE,SNP-MLP top512 alpha0.40,0.3153595833383983,0.00677218444218006,0.5250266240681576,0.00804029226333417,0.4984025559105431,0.0159744408945687,5,313,TRUE,LLT,0.3153595833383983
LLT_CODE,SNP-MLP top512 alpha0.60,0.30990142257695524,0.00910743360526307,0.5218317358892439,0.00368913910025324,0.49946751863684774,0.00804029226333415,5,313,FALSE,LLT,0.30990142257695524
PLT_CODE_POST,RiceGeneFormer + distill w=0.10,0.3931247695635683,0.02450183239104609,0.8220793140407289,0.00371286346745736,0.18220793140407288,0.00491165669341461,4,311,FALSE,PLT,0.3931247695635683
PLT_CODE_POST,LightGBM top512,0.36059645260318146,0,0.8263665594855305,0,0.17684887459807075,0,4,311,FALSE,PLT,0.36059645260318146
PLT_CODE_POST,XGBoost top512,0.3428308823529412,0,0.8263665594855305,0,0.17684887459807075,0,4,311,FALSE,PLT,0.3428308823529412
PLT_CODE_POST,SNP-MLP top512 alpha0.40,0.4843725211952367,0.00751248637148674,0.8295819935691319,0.00964630225080387,0.17363344051446947,0.00964630225080386,4,311,TRUE,PLT,0.4843725211952367
PLT_CODE_POST,SNP-MLP top512 alpha0.60,0.4715098774938429,0.01514950778162839,0.8017148981779206,0.02677383922142938,0.20257234726688103,0.02857940327111122,4,311,FALSE,PLT,0.4715098774938429
PSH,RiceGeneFormer + distill w=0.10,0.3386596871320083,0.00961480575096976,0.8097345132743362,0.00766394162641097,0.2079646017699115,0.00766394162641095,3,226,TRUE,PSH,0.3386596871320083
PSH,LightGBM top512,0.32307838389593124,0,0.8362831858407079,0,0.18584070796460175,0,3,226,FALSE,PSH,0.32307838389593124
PSH,XGBoost top512,0.3027375201288245,0,0.831858407079646,0,0.1902654867256637,0,3,226,FALSE,PSH,0.3027375201288245
PSH,SNP-MLP top512 alpha0.40,0.3164467548157822,0.01200485115283528,0.831858407079646,0.00442477876106195,0.19174041297935104,0.0051092944176073,3,226,FALSE,PSH,0.3164467548157822
PSH,SNP-MLP top512 alpha0.60,0.3263840073659053,0.0131666189356754,0.8097345132743363,0.02341372841650077,0.224188790560472,0.03990486506922916,3,226,FALSE,PSH,0.3263840073659053
PTH,RiceGeneFormer + distill w=0.10,0.44966480206109055,0.01548369690195508,0.49459193706981314,0.00742363267971557,0.5299901671583088,0.00614060766804171,3,339,FALSE,PTH,0.44966480206109055
PTH,LightGBM top512,0.48715897044238526,0,0.49852507374631266,0,0.5457227138643068,0,3,339,FALSE,PTH,0.48715897044238526
PTH,XGBoost top512,0.5013044368714472,0,0.5132743362831859,0,0.551622418879056,0,3,339,TRUE,PTH,0.5013044368714472
PTH,SNP-MLP top512 alpha0.40,0.4825234542157554,0.03502866886472764,0.4995083579154376,0.03556173317605728,0.56047197640118,0.02844734737756032,3,339,FALSE,PTH,0.4825234542157554
PTH,SNP-MLP top512 alpha0.60,0.49673250887464576,0.02761628054959819,0.5054080629301868,0.02954764838017054,0.5614552605703048,0.02543267877360388,3,339,FALSE,PTH,0.49673250887464576
SDHT_CODE,RiceGeneFormer + distill w=0.10,0.3611324075262694,0.01006896794898373,0.7199148029818957,0.00368913910025324,0.28328008519701814,0.00368913910025321,3,313,FALSE,SDHT,0.3611324075262694
SDHT_CODE,LightGBM top512,0.3603361344537815,0,0.7412140575079872,0,0.25878594249201275,0,3,313,FALSE,SDHT,0.3603361344537815
SDHT_CODE,XGBoost top512,0.34303707987918514,0,0.744408945686901,0,0.25559105431309903,0,3,313,FALSE,SDHT,0.34303707987918514
SDHT_CODE,SNP-MLP top512 alpha0.40,0.37782687614476007,5.9169323565664e-4,0.7103301384451545,0.00804029226333412,0.2928647497337593,0.00804029226333415,3,313,FALSE,SDHT,0.37782687614476007
SDHT_CODE,SNP-MLP top512 alpha0.60,0.3895503181316513,0.01524228156833252,0.703940362087327,0.02174715426694582,0.29925452609158676,0.02481614525608316,3,313,TRUE,SDHT,0.3895503181316513
SPKF,RiceGeneFormer + distill w=0.10,0.17177931016028505,0.0141009041652052,0.6941176470588236,0.01836764117175997,0.3196078431372549,0.02167974939950587,5,340,FALSE,SPKF,0.17177931016028505
SPKF,LightGBM top512,0.17385244659900015,0,0.7,0,0.3088235294117647,0,5,340,FALSE,SPKF,0.17385244659900015
SPKF,XGBoost top512,0.16620689655172413,0,0.7088235294117647,0,0.3,0,5,340,FALSE,SPKF,0.16620689655172413
SPKF,SNP-MLP top512 alpha0.40,0.16817648973795812,0.00470966312963884,0.7068627450980393,0.00449272126956458,0.307843137254902,0.00740179846595171,5,340,FALSE,SPKF,0.16817648973795812
SPKF,SNP-MLP top512 alpha0.60,0.19352244977244976,0.05033865996079287,0.6794117647058824,0.02564058202082746,0.35784313725490197,0.03446744280636656,5,340,TRUE,SPKF,0.19352244977244976
